Usuario|Usuario
Buscar Remis|Buscar Remis
Mis viajes Remis|Mis viajes Remis
Usuario Admin.|Usuario Admin.
Viajes Remis Pend. Aprobaci&oacute;n|Viajes Remis Pend. Aprobación
Usuario Proveedor|Usuario Proveedor
Viajes Confirmar|Viajes Confirmar
Viajes Facturar|Viajes Facturar
Viajes Rechazados facturacion|Viajes Rechazados facturacion
Facturas Proveedor|Facturas Proveedor
Exportar Datos Facturacion|Exportar Datos Facturacion
Usuario Reportes|Usuario Reportes
Reportes Remises|Reportes Remises
