Reglas Precios|Reglas Precios
Seleccione el proveedor|Seleccione el proveedor
-- Seleccion un proveedor --|-- Seleccion un proveedor --
Nueva Regla Precio|Nueva Regla Precio
Nombre Regla|Nombre Regla
Es Automatica?|Es Automatica?
Seleccione una Regla Precio|Seleccione una Regla Precio
Regla |Regla 
 de | de 
