Exportar facturaci&oacute;n|Exportar facturación
Seleccione el per&iacute;odo de facturacion que desea exportar y haga click en &quot;Exportar&quot;.|Seleccione el período de facturacion que desea exportar y haga click en "Exportar".
Nro. Factura|Nro. Factura
