AVISO:|AVISO:
 VIAPOOL REMISES/MOTOS Y URP,MENSAJERIA EXTERNA NO ESTARAN DEPONIBLES EL DIA 30/12/2011 | VIAPOOL REMISES/MOTOS Y URP,MENSAJERIA EXTERNA NO ESTARAN DEPONIBLES EL DIA 30/12/2011 
Por favor efectuar el pedido de manera telef&oacute;nica a las agencias correspondientes a su Site|Por favor efectuar el pedido de manera telefónica a las agencias correspondientes a su Site
 Este cartel se cerrar&aacute; en | Este cartel se cerrará en 
 segundos | segundos 
