Exportar facturaci&oacute;n a excel|Exportar facturación a excel
Seleccione la factura que desea exportar y haga click en &quot;Exportar&quot;.|Seleccione la factura que desea exportar y haga click en "Exportar".
Nro. Factura|Nro. Factura
